8 0
8 1
9 1
9 2
9 3
10 3
11 3
11 2
12 2
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
20 2
21 2
22 2
22 3
22 4
23 4
24 4
25 4
25 3
25 2
25 1
26 1
27 1
27 2
27 3
27 4
27 5
28 5
28 6
28 7
27 7
27 8
27 9
28 9
28 10
28 11
27 11
27 12
27 13
26 13
26 14
25 14
25 15
25 16
26 16
27 16
28 16
28 17
28 18
27 18
27 19
27 20
26 20
26 21
25 21
24 21
24 20
23 20
22 20
21 20
20 20
20 21
19 21
18 21
18 20
17 20
17 19
16 19
15 19
15 20
15 21
14 21
13 21
13 22
12 22
12 23
12 24
11 24
10 24
10 25
10 26
11 26
11 27
12 27
13 27
13 28
14 28
15 28
15 27
15 26
16 26
17 26
17 27
17 28
18 28
19 28
20 28
20 27
20 26
19 26
19 25
19 24
20 24
21 24
21 23
22 23
23 23
24 23
24 24
25 24
25 25
26 25
26 26
27 26
27 27
27 28
26 28
26 29
